Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.171 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.171 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 10.0.0.139 -> Destination: 52.168.117.175 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 52.168.117.175 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.139 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 4.150.223.98 -> Destination: 10.0.0.139 | Protocol: 6
Source: 4.150.223.98 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 4.150.223.98 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.98 | Protocol: 6
Source: 4.150.223.98 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.139 -> Destination: 140.82.114.26 | Protocol: 6
Source: 140.82.114.26 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.220 -> Destination: 224.0.0.251 | Protocol: 17
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 10.0.0.139 -> Destination: 4.150.223.103 | Protocol: 6
Source: 4.150.223.103 -> Destination: 10.0.0.139 | Protocol: 6
